[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.817 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.833 | Cases:: Inside GetActivitiesCustomFields
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.849 | Cases:: Success: DBH.GetActivitiesCustomFields 
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.849 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.864 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.864 | ReportLayout:: GetDataSet START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.864 | ReportLayout:: GetDataSet END
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.880 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.880 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.896 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.911 | ReportLayout:: GetDataSet START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:28.911 | ReportLayout:: GetDataSet END
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.911 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.942 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.958 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:28.989 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.020 | Contracts::Entering GetContractDetails
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.177 | Contracts::Exiting GetContractDetails
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:29.177 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.271 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.286 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.286 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.317 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:29.317 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.349 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.349 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.349 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.364 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:29.364 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.395 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.395 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.411 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.427 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-18-2025 15:36:29.442 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.458 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-18-2025 15:36:29.458 | Common:: DecodeBase64 START
